Businesses for Responsible Tax Reform,"[0, 386]"
Swing Left,"[0, 336]"
Priorities USA Action,"[0, 333]"
Framed Tweets,"[0, 264]"
Definition.org,"[0, 230]"
Alliance for a Better Minnesota,"[0, 218]"
CRTV Tonight with Gavin McInnes,"[0, 200]"
Greenpeace USA,"[0, 192]"
CARE,"[0, 182]"
Ivory Ella,"[0, 154]"
Conservative Mama PhD,"[0, 154]"
Stand with Susan Collins,"[0, 125]"
Elite Daily,"[0, 111]"
Planned Parenthood Action,"[0, 102]"
Maple Heights African American Gazette,"[0, 87]"
Clearing out the Clutter,"[0, 87]"
Resist Trump's agenda,"[0, 86]"
National Domestic Workers Alliance,"[0, 84]"
Chris Pappas for Congress,"[0, 79]"
Animal Matters,"[0, 79]"
Winning For Women,"[0, 78]"
Working Families Party,"[0, 73]"
Phil Bredesen,"[0, 64]"
Gayle Kemp for State House,"[0, 61]"
Military Officers Association of America (MOAA),"[0, 59]"
Askov Finlayson,"[0, 55]"
Mike Levin,"[0, 54]"
Disrupt Aging,"[0, 52]"
OAF Nation,"[0, 51]"
Conservative Daily,"[0, 51]"
O'Brien Zuckerman 2021,"[0, 50]"
Pursuit,"[0, 45]"
No Kid Hungry,"[0, 44]"
Homes For Our Troops,"[0, 44]"
Healthy Montana Campaign,"[0, 44]"
Conservation International,"[0, 42]"
Divided We Stand,"[0, 38]"
Lupe Valdez,"[0, 36]"
NRDC Action Fund,"[0, 35]"
Coverage of the Trump Presidency by The Epoch Times,"[0, 33]"
Be Conscious. Be Kind.,"[0, 33]"
Terri Legrand for NC House 2018,"[0, 32]"
DiversityInc,"[0, 32]"
Music for Resistance and Revolution,"[0, 31]"
Environmental Defense Fund,"[0, 30]"
American Jewish World Service - AJWS,"[0, 30]"
Pi Yoga Pants,"[0, 29]"
Voice Big,"[0, 28]"
Rainforest Action Network,"[0, 27]"
Claire McCaskill,"[0, 25]"
Jon Tester,"[0, 24]"
United Way of Greater New Haven,"[0, 23]"
Headline Shirts,"[0, 23]"
Roaming Millennial Uncensored,"[0, 21]"
Diane Mitsch Bush for Colorado CD3,"[0, 21]"
Politicon,"[0, 20]"
Cort VanOstran for Congress,"[0, 20]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[0, 18]"
LCV Victory Fund,"[0, 17]"
Mike Cierpiot,"[0, 16]"
Campbell County Republican Party,"[0, 16]"
AFSCME Council 31,"[0, 15]"
Tina Smith,"[0, 14]"
Politica CT,"[0, 13]"
The Detroit Cast,"[0, 12]"
Sivoli For Senate,"[0, 12]"
Pocket Your Dollars,"[0, 12]"
Mayor Matt Hall,"[0, 12]"
Fayette County Republican Party of Indiana,"[0, 11]"
Tim Barnsback for NC House,"[0, 10]"
SUJO Home,"[0, 8]"
Ferkinhoff for Congress - Indiana 6th District,"[0, 8]"
Martin Heinrich,"[0, 7]"
FreedomWorks,"[0, 6]"
Team Kendra,"[0, 5]"
Bob Weiner,"[0, 4]"
