,1492249
Blue Wave 2018,48
the Democratic National Committee,47
Washington Speakers Bureau,47
Cannabis News Update,47
Adam Schiff for Congress,45
Sand Cloud,44
Jeff Triplett for Mayor of Sanford,44
DEMOCRATIC CONSERVATION ALLIANCE PAC, AND NOT AUTHORIZED BY A CANDIDATE OR CANDIDATE’S COMMITTEE,44
the Committee to Re-elect Judge Lamar Pickard,43
United We Dream Action,42
PETE OLSON FOR CONGRESS,42
Cynthia for New York.,42
Unite Colorado Election Fund,41
Scamazon,41
Andy Thomson for City Council,41
RedBlueTracker,40
The Climate Reality Project,39
Florida Senatorial Campaign Committee,39
Purpose Campaigns,38
Jetties Bracelets,38
Human Rights Watch,38
Sharice for Congress,37
Nasty Feminist Woman Shirts,37
ArtProfiler, Austin's Premiere Online Cultural Magazine,37
The Fighting Forces,36
Sarah Smith for US Congress 2018,36
Leadership Institute,36
Jackson for Congress,36
mitú, Inc.,35
UltraViolet Education Fund,35
Paid for by Be a Hero PAC,35
Kaniela Ing for Congress,35
The Scott Hill Group,34
Houston Fire Fighters Political Action Committee,34
Florida Daily,34
Tristan Cruz,33
The Reunite Committee,33
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,33
Maloney for New York,33
Friends of Tom Barrett, PO Box 121, Charlotte, MI 48813,33
Center for Reproductive Rights,33
Abdul El-Sayed for Governor,33
Texas Public Policy Foundation ,32
Ploughshares Fund,32
Nano Vision,32
Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624,32
Bill Brann,32
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,31
Tony Rackauckas for District Attorney 2018, FPPC ID# 970780,31
Sandy Hook Promise,31
Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111,31
Important, Not Important LLC,31
Forward Thinking Media, LLC,31
Tim Ryan for Congress,30
Save The Storks,30
Ken Blackwell and Friends,30
Cathy Costello for Labor Commissioner,30
the House Victory Committee | Ashley Manlove, Treasurer ,29
Nathan Manning for Ohio,29
Left Over Rights LLC, an independent grassroots movement that receives absolutely zero funding from any political entity  ,29
Florida Jobs PAC,29
C-SPAN,29
The Daily Wire,28
Johnny C. Garrett for State Representative,28
Aric Chen 曉天,28
American Patriot Daily News Network,28
Robert Nichols for Texas Senate,27
Portside,27
Joe Kennedy for Congress.,27
Jeff Brandes, Republican, for State Senate,27
Feinstein For Senate 2018,27
Mothers Against Police Brutality, Inc.,26
Morris 4 House,26
Jerry Calderon,26
Giving Brush LLC,26
Florida Policy Institute,26
Anthony Bonna, Republican, for St. Lucie County Commission - District 2,26
American Bird Conservancy,26
William E. Hammer,25
TheBlaze,25
Save the Children Action Network ,25
Plan International USA,25
ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,25
Eric Rutherford for HD 33,25
the Center for Immigration Studies,24
MAGApreneur, INC.,24
Bill Nelson for U.S. Senate,24
the Institute for New Economic Thinking,23
SSI Disability Advocates of America,23
President Trump Fans Page,23
Organization for Competitive Markets,23
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,23
Friendship,23
the Friends of Jess King,22
UsAgainstAlzheimer's,22
The Committee To Elect Larry Piegza,22
Texas Civil Rights Project,22
Support The 2nd Amendment,22
Spiritual Endeavors LLC,22
South Florida's Future independently of any candidate.,22
PubTalks,22
PACRONYM. Not authorized by any candidate or candidate’s committee,22
Old Glory Apparel,22
Matt Brown for Governor,22
Marchon Tatmon, Mayor of Oakland 2018,22
Erik Motsinger for District Judge 2018,22
David Chiu for Assembly 2018,22
 John James for Senate, inc.,22
The Microwave Is Watching. We do not take political donations and fund all advertising by private funds. ,21
Team Morris for Morris County Freeholder,21
New York Working Families Party,21
Mississippi Democratic Party,21
Michigan Leadership Committee. Not authorized by any candidate.,21
Friends of Michael Guest,21
Environmental Voter Project,21
Elaine for Congress,21
Earth Clan,21
Death To Tyrants ,21
Conservative Daily,21
Citizens for Maggie McIntosh,21
The Coalition for Medicare Choices,20
Massoumi Web Holdings LLC,20
Friends of Stan Sniff 2018,20
Fletcher Law Offices,20
Celebrity Voice Changer,20
Svaty for Kansas, Shirley Jacques, Treasurer,19
Sarasota Citizen Martin Hyde,19
Rich Siegel Author,19
Patriot Journal,19
Friends of Louise Valentine,19
Friends of Andy Szekely,19
Civic Action Network,19
Capital Research Center,19
The Committee For Ranked Choice Voting,18
Reform Austin Inc.,18
National Clean Energy Week ,18
Mike Simpfenderfer Cares About Us For Assembly District #58, 2018 FPPC #1404133,18
Medicare for All. Not authorized by any candidate or candidate committee.,18
Friends of James Skoufis,18
Concerned Citizen David Townsend,18
Committee to Elect Whaley for Treasurer,18
Blue Wave Voters,18
The Mark Kaye Show,17
National Association of Manufacturers,17
Lidkings,17
Future Generations Advocacy Project,17
Collier for Lt. Governor ,17
Cattleman's Beef Board,17
Blue Sky Tiger Sanctuary,17
Will Robinson, Republican, for State Representative,16
Water Lifestyle Co.,16
This ad was paid for by Savvy Stews,16
The Rutherford Institute,16
The #News,16
Shareblue Media,16
Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,16
Pacific Legal Foundation,16
Friends of Michela Skelton,16
Committee to Elect Hollies Winston for Brooklyn Park,16
Aspire Gear,16
Wilkow!,15
Studio 71, LP,15
Rooted in Rights,15
Public Discourse,15
Project Republic Today,15
In Search of Liberty,15
Annette Taddeo, Democrat for State Senate Dist 40,15
the California School Boards Association,14
The Principled Libertarian,14
Rory Allen,14
People's World,14
Marin Crops, Inc,14
LaunchGood,14
Hello Resistance,14
Green For Chicago,14
Friends of Chris Murphy,14
Topic,13
Ryan Petty for Broward County School Board, District 8, Nonpartisan.,13
Pursuit, a non-partisan, non-profit organization,13
National Rural Electric Association,13
John Carter for Congress,13
Elissa Slotkin for Congress,13
Brady McNulty, a guy who draws cartoons,13
Amy Pennock for Seminole County School Board,13
Alliance for Justice,13
the Dr. Eliz Markowitz for TX State Board of Education campaign.,12
SameSide,12
Run for Something PAC,12
Premiere Collectibles,12
National Wildlife Federation Action Fund,12
Montanans for Tester,12
Lisa Godzich for House,12
Kanew For Congress,12
Hampton Institute,12
English Cameroon for a united Cameroon,12
Educate Our Kids, We Are Grinnell.,12
Dystopian State(s) Committee,12
Colm Willis for Oregon,12
American Greatness Apparel,12
30x30, FF&L,12
Washington State Democratic Party,11
WNYC,11
Trade for America,11
The Oxygen Project,11
Right Call Media LLC,11
New Mexico Working Families Party PAC,11
Florida Strong Action PAC independently of any candidate.,11
E.O. Wilson Biodiversity Foundation,11
Committee To Elect Megan Seay Circuit Judge, Ronald Seufert Treasurer.,11
Cardozo School of Law,11
WomenStrong International,10
Texans for Chris Paddie,10
Teamsters Joint Council 10,10
Spanberger for Congress,10
Patriot Style,10
Nick Josefowitz for Supervisor 2018,10
Mike Crimi, Republican, for Marion County Commission District 2,10
Michele Guyton for Baltimore County,10
Freedom for All Americans,10
EveryLibrary | FEIN 46-1534149,10
Dean Obeidallah,10
Color of Change PAC, colorofchangepac.org, not authorized by any candidate or candidate’s committee. ,10
Carbonated TV,10
TruOcean,9
The Committee to Elect Judge Jeff Weill,9
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,9
Polis for Colorado,9
Gerald Allen for State Senate,9
Gathering Together,9
Faso for Congress,9
Committee to Elect David Yungmann; Stephen Hauf, Treasurer,9
Coalition to Build the Bridge to the Beach,9
Chrissy Houlahan for Congress,9
Barbara Lee for Congress,9
the North Carolina Democratic Party. Authorized by Committee to Elect Caroline Walker,8
the Democratic Legislative Campaign Committee,8
Wendy Rogers for Congress,8
WV Future PAC,8
Tony Dale,8
The Winners, LLC,8
Save Our Tips,8
Marggie Castellano for Senate 2018,8
Mad Dog Political Action Committee,8
Jamie Kiel Campaign 14696 Hwy 43, Russellville, AL 35653,8
Ignatian Solidarity Network,8
Greenberg for State Senate. Kelly P Ricciardi Treasurer. Approved by Adam D Greenberg.,8
Friends of Mark Pinsley,8
Dr. Kim Schrier for Congress,8
Democratic Action.,8
Debra Hilstrom for Attorney General,8
BRITE Coalition.,8
the Dyer Difference,7
The Committee To Elect Lisa Ring,7
The Collective PAC; not authorized by any candidate or any candidate's committee.,7
State Innovation Exchange,7
Sold Blue Strategies - a liberal media and video content company,7
Shawn Nelson For Congress,7
Scott Peters for Congress,7
NIAC Action ,7
Jonathan Boos For State Representative Campaign,7
Jewish Democratic Council of America,7
Jay for House, PO Box 600264, St. Paul, MN  55106,7
James Thompson for Kansas,7
Gary Bechtel for State Representative,7
Friends of Ari Espinal,7
Eastern State Penitentiary,7
Coalition of Minnesota Businesses,7
Al Lawson for Congress,7
the Keith Ellison for Attorney General committee, PO Box 80824, Minneapolis, MN 55408,6
THE REPUBLICAN PARTY OF KENTUCKY. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE. 502.875.5130,6
Status Coup, LLC,6
Rev. Dr. Chuck Currie,6
Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.,6
