Vote Gregg Lawrence - Beverly Burger, Treasurer,3000
The Committee to Elect Bill Newman Mayor, Glenn Beech Treasurer,3000
Safe Access Tennessee,3000
Roby Helm,3000
Paid for by the Committee to Elect Mark P. Lee, Mark Lee Treasurer,3000
NOAH (Nashville Organized for Action and Hope),3000
Martin Daniel for Tennessee, Michael Franz, Treasurer,3000
Griffin for Knox County Commission, Jonathan Clark, Treasurer,3000
Glen Dean for Congress,3000
Friends of Sheriff Paul Thomas, Sherry Jo Smith, Treasurer.,3000
Friends of Mike Cunningham for Lakeland Mayor,3000
Conexión Américas,3000
Committee to Elect David Chapman,3000
Chad Story for District 4 - James Hanson, Treasurer,3000
Braisted for Democratic Executive Committee,3000
Alan Driver for Sumner County,3000
Friends of Nathan Farnor,2998
C Johnson,2988
Brent Legendre for Congress,2975
Ammar Campa-Najjar for Congress.,2974
The Obion County Republican Party ,2965
WeThePeopleHolsters ,2894
Personal Liberty,2851
and Authorized by  Andrew Janz for Congress.,2817
Drew Jennings for City Council Campaign,2806
The Wilderness Society,2765
Libertarian Party of Tennessee Valley,2649
Sean Heileman,2511
Relevant Seminars,2487
Catholic Relief Services,2476
Omaze,2369
Human Coalition,2369
Beto for Texas,2356
Mississippi Development Authority,2353
Likewise Media,2283
Congressman Mo Brooks,2271
Alaska Wilderness League,2239
Families For Trump,2235
Premiere Collectibles,2230
Zen Brands International, LLC,2203
Proud Right Winger,2197
NRSC,2121
DC Statesman,2066
Warrior 12,2044
Giffords,2033
Patagonia ,2013
the candidate,2000
the Campaign for Brigid Day, Shabnam Aminmadani Treasurer,2000
Tim Grandey,2000
Tennessee Justice Center,2000
Susan Sneed for TN State House District 20,2000
Southern Alliance for Clean Energy.,2000
Secretariat of Economy (Mexico),2000
Scenes Media LLC,2000
Rutherford County Democratic Party, Alreen Kohn, Treasurer,2000
Re-Elect Scott Sumners Maury County Commissioner District 5,2000
Pat Collins Candidate,2000
Nashville Libertarian Party,2000
Matt Bailey,2000
Loudon County Democratic Party,2000
Judd Cowan for State Representative,2000
Jimmy Brown for County Commission,2000
Jim Hammond For Sheriff, Henry Hoss Treasurer,2000
Jennifer Vannoy for the People, Wanda Ogletree, Treasurer,2000
Jay Clark for TN State House District 8, Treasurer - Scott Davis,2000
Friends and Family of Marquette D. Gilchrest for Commissioner,2000
Dean Hill,2000
David Adams, candidate for the Johnson City Board of Commissioners,2000
Committee to Elect Michelle Foreman,2000
Committee to Elect Greg Samples,2000
Clint Mathis,2000
Citizens To Elect Dennis Clark, John Adams Jr. Treasurer ,2000
Chad Karl,2000
Brian Curry for School Board,2000
Spurlock for Congress,1998
Restoration PAC,1991
the committee to Re-elect Randall Hutto for County Mayor. LouAnn Hutto, treasurer.,1985
The Committee to Elect Derek Winkle,1974
State Run Films,1957
Blue Fox Entertainment,1955
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,1954
Committee to Elect Yusuf Hakeem, Gerald Mason, Treasurer,1929
UsAgainstAlzheimer's,1917
End Citizens United,1890
Energy Citizens,1864
Lemony Tree,1863
Dogwood Alliance,1824
Committee to Elect Dan Forest,1803
Tom Steyer,1786
Everytown for Gun Safety Action Fund,1779
We Are The Mighty,1734
The Humane Society of the United States,1700
Blue Wave 2018,1695
Finance Watch Dogs,1650
Welcome.us,1640
Young America's Foundation,1621
MJ for Texas,1608
Friends of Bernie Sanders,1541
C-SPAN,1536
TYT Network,1443
This message has been authorized and paid for by Republican Governors Association, Michael G. Adams, Treasurer. This message has not been authorized or approved by any candidate or ballot issue committee.,1406
SFT2 Tactical Supply,1399
LifeZette Inc.,1382
Foundation for Economic Education,1365
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,1361
Diversity Incorporated ,1346
NARAL Pro-Choice America,1326
CLILA-Coalicion de Lideres Latinos- Latino Leaders Coalition,1325
Jason McCraw campaign fund,1320
Giffords, a section 501(c)(4) issue advocacy organization, and Giffords PAC, a federal political committee. Not authorized by any candidate or candidate's committee.,1307
League of Conservation Voters,1279
Good Media Group,1252
Coastal Tees,1240
Heidi for North Dakota,1231
PrintedKicks,1227
Good Jobs Nation,1216
Defending Donald,1204
Arthur Winter,1192
ConocoPhillips Company,1172
Defenders of Wildlife,1136
International Rescue Committee,1112
Ted Cruz for Senate,1111
Goods Unite Us, Inc.,1089
GLAAD,1086
Amnesty International USA,1085
Peter Joffrion for Congress,1076
Ocean Conservancy,1067
Zya, Inc. ,1052
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,1036
Hoover Institution,1034
Zack Cusick For School Board 6th District,1000
Zachary Houk For State Representative,1000
The Committee to Elect Jim Wheeler - Mary Frances Crutcher Matherne, Treasurer,1000
Steve Rutherford,1000
Sprouse for Alderman,1000
Shawn Duren,1000
