JHOP DC,"[1000, 6997]"
Texas Public Policy Foundation,"[1000, 5998]"
Jamie Sycamore,"[1000, 5998]"
Campaign Deputy,"[1000, 5998]"
76 Words,"[1000, 5998]"
Committee for Justice,"[1000, 5447]"
Religious Action Center of Reform Judaism,"[1000, 5026]"
Yes On 1631,"[1000, 4999]"
WUFPAC ~ Electing Young Women Leaders,"[1000, 4999]"
UMD Socialists,"[1000, 4999]"
U.S. Grains Council,"[1000, 4999]"
The New Media Firm,"[1000, 4999]"
The Henne Group,"[1000, 4999]"
The Alliance for Solar Choice,"[1000, 4999]"
Support a Raise for DC Cops,"[1000, 4999]"
Summer For Congress,"[1000, 4999]"
Stop the Machine! Create a New World,"[1000, 4999]"
Stand Up Susan,"[1000, 4999]"
STG,"[1000, 4999]"
SIS Research,"[1000, 4999]"
National Woman's Party,"[1000, 4999]"
Killa Cal DA Animal,"[1000, 4999]"
Kevin Cramer,"[1000, 4999]"
Keep Meridian Hill Green,"[1000, 4999]"
Fix Politics Now,"[1000, 4999]"
Code 3,"[1000, 4999]"
Big Red Media LLC,"[1000, 4999]"
Aroostook Acts Against Hate,"[1000, 4999]"
Answer Coalition,"[1000, 4999]"
Alaska Wilderness League,"[1000, 4999]"
10th District Virginia Democrats,"[1000, 4999]"
Global Strategy Group,"[999, 4994]"
First Baptist Church of Glenarden,"[994, 1988]"
Richard Gottfried for Montgomery County Council,"[990, 4946]"
B & H Antique Auction,"[975, 4875]"
Democratic Asian Americans of Virginia,"[964, 1928]"
America's Future Foundation,"[947, 4739]"
Explore Offshore,"[931, 5403]"
FloridaPolitics,"[929, 2185]"
Hollywood Village,"[905, 1810]"
Tommie M. Thompson,"[896, 2107]"
Blue Wave 2018,"[891, 1948]"
Abdul El-Sayed,"[876, 4894]"
Potomac Dentistry and Facial Aesthetics,"[870, 4347]"
The Daily Show,"[870, 2036]"
Congressional Black Caucus PAC (CBC PAC),"[866, 1732]"
End Citizens United,"[828, 2673]"
No Kid Hungry,"[821, 4546]"
WP BrandStudio,"[816, 1633]"
Washington National Cathedral,"[801, 4005]"
Concealed Online,"[799, 3353]"
Delegate Jazz Lewis,"[795, 3973]"
HILL TV,"[779, 2498]"
Project Veritas,"[751, 4041]"
The Arena,"[735, 2317]"
Drug Injury News,"[721, 1803]"
Soul Nation Events,"[716, 3583]"
Human Rights Watch,"[703, 5217]"
Shaun King,"[701, 3180]"
Mercy For Animals,"[690, 3290]"
Evan Glass for Montgomery County Council,"[671, 1717]"
The Resurgent Left,"[667, 1333]"
Ted Wheeler,"[645, 5167]"
Heinrich-Böll-Stiftung North America,"[643, 3215]"
MedStar Washington Hospital Center,"[638, 3189]"
Trust Women,"[631, 14046]"
Ben Shnider for County Council,"[629, 5429]"
FCTRY,"[629, 1259]"
National Health Law Program (NHeLP),"[628, 2431]"
Generation 180,"[623, 4115]"
Tom Hucker,"[618, 3705]"
Marilyn Balcombe for County Council,"[599, 2993]"
Share Better,"[599, 2428]"
Private Briefing,"[598, 1196]"
North Dakotans for Senator Heitkamp,"[570, 2850]"
Claremont Institute,"[570, 2849]"
Zephyr Teachout,"[564, 3008]"
Lt. Colonel Steve Fitzgerald - Ret.,"[558, 1530]"
Suraj Patel for Congress,"[554, 2771]"
GZERO Media,"[547, 2313]"
Burke-Paine Society,"[539, 2903]"
Texas GOP Vote,"[538, 2362]"
Seventh Generation,"[524, 1048]"
Don Blankenship,"[518, 1507]"
Smoky Mountain Values,"[509, 2544]"
Rally Health,"[493, 2467]"
Heifer International,"[493, 986]"
Julie Reiley for Board of Education,"[485, 2610]"
Daily Independent News,"[485, 2423]"
Kumar Barve,"[470, 2424]"
Players Coalition,"[468, 2339]"
Skydive Orange,"[463, 2316]"
National Network of Abortion Funds,"[463, 2218]"
The Nib,"[460, 1510]"
We The People Holsters,"[458, 1279]"
Karen 4 Maryland,"[445, 2225]"
The Devil We Know,"[442, 885]"
NRA - National Rifle Association of America,"[428, 1010]"
Teacher's Association of Anne Arundel County,"[423, 846]"
DC Sustainability Summit,"[419, 2095]"
John Robertson for Board of Education,"[416, 1091]"
Environmental Defense Fund,"[415, 3660]"
CLSA - California Life Sciences Association,"[415, 2174]"
David Moon - Progressive Democrat,"[414, 2461]"
United States Constitution,"[402, 1045]"
Airport Workers United,"[398, 795]"
Senator Mac Middleton,"[391, 1957]"
Maryland League of Conservation Voters,"[388, 776]"
Dave Bishop for Congress,"[385, 1921]"
Working Families Party,"[385, 878]"
PolicyEd,"[377, 1048]"
JCRC of Greater Washington,"[371, 741]"
Swing Left,"[368, 6311]"
Nike,"[367, 930]"
Reform Austin,"[363, 763]"
Arlington Young Democrats,"[361, 15906]"
Mike Rogers - Candidate for District 32,"[361, 2073]"
Adam Schiff,"[357, 902]"
Giffords,"[355, 2139]"
Ocean Conservancy,"[354, 7001]"
Andrew Shaffer,"[346, 2340]"
Diamond Star Divas,"[345, 1727]"
Julian Haffner For District 17 Delegate,"[343, 1717]"
We Are The Mighty,"[341, 844]"
Carolyn Adams & Associates,"[339, 2034]"
Baker for Governor,"[336, 1680]"
Friends of  Pete Fosselman,"[335, 1947]"
Barbara Kanninen,"[335, 1676]"
John Wolfe U.S. Senate,"[334, 1668]"
Tony Evers,"[333, 1128]"
Turning Point USA,"[331, 769]"
Klean Kanteen,"[326, 3035]"
USA for UNHCR,"[319, 812]"
Candace Hollingsworth for County Council,"[318, 1588]"
Jeff Merkley,"[318, 839]"
Alliance Defending Freedom,"[318, 815]"
Emerge America,"[314, 702]"
Public News Service,"[311, 1554]"
Suburban Virginia Republican Coalition,"[310, 2551]"
Community Justice Reform Coalition,"[308, 1542]"
Human Coalition,"[306, 685]"
Heidi Heitkamp,"[303, 2072]"
Nasty Scientist,"[300, 1964]"
Buffy Wicks,"[299, 1580]"
Bernie Sanders,"[298, 1446]"
Greenpeace USA,"[288, 1361]"
Justice Democrats,"[285, 1589]"
American AF,"[284, 1124]"
Ranker,"[270, 1324]"
Sharice for Congress,"[268, 2028]"
Tim Westley for U.S. Congress 2018,"[268, 1183]"
Power In Cooperation,"[267, 3979]"
Dave Walcher,"[262, 1409]"
Fatmata Barrie for State Delegate,"[258, 1487]"
Planted for People,"[258, 1292]"
Alexandria Ocasio-Cortez,"[258, 1007]"
Anthony Triplin for Board of Education,"[253, 1266]"
Giving Brush,"[252, 552]"
Utah Policy,"[247, 810]"
Chris Wilhelm for County Council,"[244, 3331]"
CPN,"[244, 1221]"
Burma Task Force,"[242, 569]"
Shak Hill,"[241, 633]"
National Republican Congressional Committee,"[240, 1171]"
Marc Elrich for County Executive,"[240, 481]"
Conservation International,"[239, 1250]"
Lumina Foundation,"[236, 473]"
MDGOP LD-15,"[235, 1177]"
Taxotere Lawsuit Information,"[231, 859]"
Unite America,"[230, 1182]"
No on SoccerCity,"[230, 539]"
Deni Taveras,"[227, 1134]"
Adam DeMarco for Congress,"[227, 1134]"
Delegate Brooke Lierman,"[227, 1046]"
Joe Donnelly,"[226, 1450]"
Topic,"[226, 1080]"
Antonio Sabato Jr,"[225, 451]"
HeloGreen,"[221, 916]"
Higher Perspective,"[220, 549]"
SAM - Serve America Movement,"[218, 711]"
Cheddar,"[217, 434]"
Movement Voter Project,"[216, 784]"
Diedra Henry-Spires-WRITE IN,"[213, 1085]"
Sandy Hook Promise,"[213, 1039]"
Ammar Campa for Congress,"[211, 1075]"
John Hope Bryant,"[210, 420]"
ASMDSS,"[209, 495]"
Innocence Project,"[209, 417]"
Conservative Tribune,"[208, 623]"
Rob Wittman,"[208, 578]"
Chevy Chase Trust,"[207, 1036]"
David Baria for Mississippi,"[203, 1081]"
Mesothelioma Lawsuit Settlements,"[202, 504]"
Save the Children US,"[198, 990]"
Peter Joffrion for Congress,"[197, 1147]"
Danny O'Connor for Congress,"[196, 992]"
Viking Books,"[195, 975]"
DiversityInc,"[194, 914]"
Rebel Rampage,"[193, 965]"
KNX 1070 NEWSRADIO,"[193, 385]"
MJ for Texas,"[192, 2152]"
NM Religious Coalition for Reproductive Choice,"[191, 957]"
Veena Lothe For Virginia,"[188, 941]"
Elect Matt Nolan Wills,"[187, 374]"
