Sand Cloud,66
Rick Neal for Congress,65
Days of Action Against the Blockade of Cuba,65
Committee to Elect Allan Kittleman; Bradley Myers, Treasurer,65
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,65
Dogwood Alliance,64
the DSCC,63
U.S. National Committee for UN Women,63
The Leadership Conference on Civil and Human Rights ,62
David Chiu for Assembly 2018,62
Friends of the Earth,61
Free-Range Entertainment, LLC,61
BlackPAC and not authorized by any candidate or candidate’s committee.,61
Joe Cunningham for Congress,60
Friends of Marc Friedenberg,60
Paul Davis for Kansas,59
Diversity Incorporated ,59
Bloomberg Philanthropies,59
The Foundation for Constitutional Government,58
Healthy Living Initiative ,58
45 Hats,58
Maloney for New York,57
Daily Wire,57
Austin Petersen for US Senate,57
Green For Chicago,56
Andrew Gillum, Democrat, for Governor,56
AARP Livable Communities,56
TradeVistas,55
The Better World Campaign ,55
Reality Bites Org, North Caorlina,55
Garcia for Governor. Authorized by Garcia for Governor.,55
EMILY's List, www.emilyslist.org, and not authorized by any candidate or candidate's committee.,53
Williams,52
Philip Levine, Democrat, for Governor,52
Giffords,52
Friends of Jennifer Lewis,52
Judicial Watch,51
Good Media Group,50
Riggs for Arizona,49
Amy for the People,49
Adam Schiff for Congress,49
The Republican Party of Sarasota County,48
Kerri Evelyn Harris for Delaware,48
Humane Society International,48
Kulkarni for Congress,47
Winning For Women, Inc.,46
Harry for CT,46
Giffords, a section 501(c)(4) issue advocacy organization, and Giffords PAC, a federal political committee. Not authorized by any candidate or candidate's committee.,46
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,45
the Friends of Jess King,45
Nine Line Apparel,45
National Audubon Society,45
Marin Crops, LLC,45
Elect Jesse Gabriel for Assembly 2018 - FPPC ID No. 1402641,45
Angie Craig for Congress,45
The Committee to Elect Alessandra Biaggi,44
Ryan Hampton,44
HeadCount,43
The Christian Left,42
Rainforest Action Network,42
Jason Rittereiser for Congress,42
Tee Shirt Palace,41
Sold Blue Strategies - a liberal media and video content company,41
LifeZette Inc.,41
Citizens Empowered for Justin Chappell, Ben Spangenberg, Treasurer,41
Amy Pennock for Seminole County School Board,41
World Wildlife Fund,40
Vote Helga Luest - Jennifer Sinclair, Treasurer,40
The Great Courses,40
Jesse Colvin for Congress,40
Hoffman for Senate, Rod Hoffman, Treasurer.,39
Friends of Alice Cain; Jenni Rooney, Treasurer,39
Chris Elliot for State Senate,39
92nd Street Y,39
Working America,38
National Partnership for Women & Families,38
AARP Member Benefits,38
Leadership Institute,37
The Nature Conservancy,36
Rustic Edge Marketing,36
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,36
Missouri AFL CIO,36
Yale Environment 360,35
Patriotic Drop Shop,35
Kurt for Wisconsin, Christine Kober, Treasurer,35
Friends of Dana Balter,34
Diversity Incorporated,34
Americans for Affordable Birth Control,34
America's Navy,34
the Foundation for Constitutional Government,33
Your Trump Shop,33
Patriot Depot,33
New American Leaders,33
GREAT TRUTHS LLC,33
New Voices for Reproductive Justice,32
Matt Rinaldi Campaign,32
Friends of Scott Goldberg, Andre Smotherman, Treasurer,32
Emerson College Polling,32
Carbonated TV,32
2atees1,32
Junk Box Entertainment LLC,31
Greater Half,31
Friends of Anton Andrew,31
By Authority: Maryland House Democratic Caucus Committee; Gail E. Smith, Treasurer.,31
United We Dream Action,30
Plan International USA,30
Friends of Dak Hardwick,30
Dodson for Senate – Wyoming First,30
Animal Matters,30
Mallory Hagan for Congress,29
Greenberg for State Senate. Kelly P Ricciardi Treasurer. Approved by Adam D Greenberg.,29
Friends of Meredith Wellington,29
The Leadership Conference Education Fund,28
National Park Foundation,28
Justice Equality And Economics ,28
Collier for Lt. Governor ,28
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,27
UNICEF USA,27
The Human Trafficking Institute,27
The Heartland Institute,27
Global Justice Center,27
Faith Johnson for DA,27
Zya, Inc. ,26
Urban Michiganders For Trump,26
UnitedHealthcare,26
The King's Necktie,26
OD Action,26
LaunchGood,26
George Franklin for Congress,26
21st District Democratic Team,26
Salazar for State Senate,25
Ryan Petty for Broward County School Board, District 8, Nonpartisan.,25
Norm 2018, Lon Seidman Treasurer, Approved by Norm Needleman,25
Chicago Community Bond Fund,25
Californians For Eleni Kounalakis For Lieutenant Governor 2018,25
C-SPAN,25
American Jewish World Service,25
Zen Brands International, LLC,24
Scamazon,24
Matt Brown for Governor,24
Friends of John Olszewski Jr.,24
Friends of Alfred Carr,24
Blue Wave Voters,24
Thrasher Coffee,23
The MIT Press,23
Pfizer,23
No Safe Spaces Movie,23
Josh Gottheimer for Congress,23
Beachside Media, Inc.,23
NYS Laborers' LECET,22
Friends of Stan Sniff 2018,22
Democratic Action.,22
Askov Finlayson,22
SFT2 Tactical Supply,21
Republican State Leadership Committee,21
Patrio App,21
Military History Working Group at the Hoover Institution,21
